itemsets,support,length
"other vegetables, whole milk",0.07483477376715811,2
"rolls/buns, whole milk",0.05663446873411286,2
"whole milk, yogurt",0.05602440264361973,2
"root vegetables, whole milk",0.048906964921199794,2
"other vegetables, root vegetables",0.047381799694966954,2
"other vegetables, yogurt",0.04341637010676157,2
"other vegetables, rolls/buns",0.042602948652770714,2
"tropical fruit, whole milk",0.04229791560752415,2
"soda, whole milk",0.040061006609049314,2
"rolls/buns, soda",0.03833248601931876,2
"other vegetables, tropical fruit",0.035892221657346214,2
"rolls/buns, yogurt",0.03436705643111337,2
"bottled water, whole milk",0.03436705643111337,2
"pastry, whole milk",0.033248601931875954,2
"other vegetables, soda",0.032740213523131674,2
